Cancer Site,Year,Rate
All Sites,1975,400.4326
All Sites,1976,407.3953
All Sites,1977,407.7194
All Sites,1978,407.2835
All Sites,1979,412.4893
All Sites,1980,418.0745
All Sites,1981,425.2658
All Sites,1982,424.4722
All Sites,1983,431.0955
All Sites,1984,439.9787
All Sites,1985,448.8782
All Sites,1986,451.343
All Sites,1987,468.1396
All Sites,1988,464.013
All Sites,1989,467.9904
All Sites,1990,482.1078
All Sites,1991,503.1229
All Sites,1992,510.7173
All Sites,1993,493.5042
All Sites,1994,483.6784
All Sites,1995,477.2905
All Sites,1996,479.5248
All Sites,1997,486.7988
All Sites,1998,488.7148
All Sites,1999,490.9452
All Sites,2000,486.897
All Sites,2001,490.6214
All Sites,2002,488.4018
All Sites,2003,476.2469
All Sites,2004,477.4449
All Sites,2005,473.5112
All Sites,2006,477.1989
All Sites,2007,483.2322
All Sites,2008,476.7345
All Sites,2009,475.5945
All Sites,2010,465.7416
All Sites,2011,460.4483
All Sites,2012,447.8527
All Sites,2013,442.1007
All Sites,2014,439.8773
All Sites,2015,436.0259
